,Close,Low,High,perc_from_high,strike,lastPrice,volume,openInterest,high_return,30pec_return,50pec_return,100pec_return
TSLA,800.77,539.49,1243.49,-35.603020530925065,880.0,125.0,28,777,1.90792,0.2880079999999998,1.5692399999999997,4.77232
TSLA,800.77,539.49,1243.49,-35.603020530925065,870.0,135.35,36,987,1.7594384927964537,0.2633985962319908,1.4466568156630955,4.404802364240857
TSLA,800.77,539.49,1243.49,-35.603020530925065,920.0,119.91,18,2479,1.6977733299974975,0.009098490534566713,1.3447168709865724,4.683762822116587
TSLA,800.77,539.49,1243.49,-35.603020530925065,960.0,106.0,6,480,1.674433962264151,-0.23583962264150965,1.2750471698113206,5.052264150943396
TSLA,800.77,539.49,1243.49,-35.603020530925065,940.0,115.86,17,515,1.6194545140687047,-0.12824961160020648,1.2540566200586922,4.709822199205939
TSLA,800.77,539.49,1243.49,-35.603020530925065,850.0,157.73,78,3288,1.494706143409624,0.21093641032143512,1.2263044443035565,3.76472452925886
TSLA,800.77,539.49,1243.49,-35.603020530925065,830.0,167.45,24,11294,1.4693341295909226,0.2600836070468793,1.2165123917587335,3.6075843535383694
TSLA,800.77,539.49,1243.49,-35.603020530925065,900.0,141.0,736,18814,1.436099290780142,7.0921985813925755e-06,1.135851063829787,3.9754609929078013
TSLA,800.77,539.49,1243.49,-35.603020530925065,950.0,122.15,173,1803,1.4027015963978708,-0.25500613999181426,1.0561195251739655,4.333933688088415
TSLA,800.77,539.49,1243.49,-35.603020530925065,975.0,115.05,564,1595,1.3336810082572799,-0.426327683615819,0.9657105606258151,4.445806171229901
TSLA,800.77,539.49,1243.49,-35.603020530925065,980.0,115.13,1163,1599,1.288630244071918,-0.47015547641796346,0.9209154868409613,4.398592894988273
TSLA,800.77,539.49,1243.49,-35.603020530925065,1000.0,110.0,2003,19051,1.2135454545454547,-0.6272636363636366,0.828681818181818,4.468545454545454
TSLA,800.77,539.49,1243.49,-35.603020530925065,1025.0,101.0,1191,1073,1.1632673267326734,-0.8415742574257428,0.7441089108910889,4.708316831683168
TSLA,800.77,539.49,1243.49,-35.603020530925065,1050.0,97.86,1734,3487,0.977212344165135,-1.0919578990394434,0.5446045370938082,4.636010627426937
TSLA,800.77,539.49,1243.49,-35.603020530925065,1075.0,90.2,103,1236,0.8679600886917955,-1.3769290465631936,0.3986141906873606,4.837472283813746
TSLA,800.77,539.49,1243.49,-35.603020530925065,1100.0,85.0,171,9171,0.6881176470588236,-1.6941058823529414,0.19005882352941145,4.900470588235294
